paths,labels
processed_data\barbell biceps curl\video12.pt,0
processed_data\pull Up\video112.pt,13
processed_data\hammer curl\video13.pt,5
processed_data\russian twist\video67.pt,16
processed_data\pull Up\video7.pt,13
processed_data\hammer curl\video35.pt,5
processed_data\incline bench press\video153.pt,7
processed_data\hip thrust\video25.pt,6
processed_data\hip thrust\video136.pt,6
processed_data\pull Up\video174.pt,13
processed_data\barbell biceps curl\video16.pt,0
processed_data\incline bench press\video22.pt,7
processed_data\romanian deadlift\video95.pt,15
processed_data\leg extension\video117.pt,10
processed_data\push-up\video120.pt,14
processed_data\squat\video66.pt,18
processed_data\push-up\video105.pt,14
processed_data\lateral raise\video182.pt,9
processed_data\incline bench press\video178.pt,7
processed_data\deadlift\video110.pt,3
processed_data\t bar row\video104.pt,19
processed_data\plank\video251.pt,12
processed_data\leg raises\video11.pt,11
processed_data\hammer curl\video18.pt,5
processed_data\barbell biceps curl\video140.pt,0
processed_data\tricep dips\video156.pt,20
processed_data\t bar row\video106.pt,19
processed_data\romanian deadlift\video22.pt,15
processed_data\barbell biceps curl\video121.pt,0
processed_data\lateral raise\video55.pt,9
processed_data\tricep dips\video133.pt,20
processed_data\leg raises\video91.pt,11
processed_data\leg extension\video101.pt,10
processed_data\incline bench press\video135.pt,7
processed_data\incline bench press\video198.pt,7
processed_data\lateral raise\video152.pt,9
processed_data\squat\video72.pt,18
processed_data\hammer curl\video133.pt,5
processed_data\lateral raise\video137.pt,9
processed_data\leg extension\video83.pt,10
processed_data\deadlift\video71.pt,3
processed_data\romanian deadlift\video56.pt,15
processed_data\tricep Pushdown\video108.pt,21
processed_data\romanian deadlift\video24.pt,15
processed_data\plank\video137.pt,12
processed_data\hip thrust\video153.pt,6
processed_data\tricep dips\video152.pt,20
processed_data\romanian deadlift\video113.pt,15
processed_data\hip thrust\video106.pt,6
processed_data\plank\video92.pt,12
processed_data\push-up\video176.pt,14
processed_data\push-up\video216.pt,14
processed_data\squat\video81.pt,18
processed_data\hip thrust\video117.pt,6
processed_data\hip thrust\video100.pt,6
processed_data\incline bench press\video127.pt,7
processed_data\leg extension\video6.pt,10
processed_data\tricep dips\video59.pt,20
processed_data\t bar row\video73.pt,19
processed_data\bench press\video134.pt,1
processed_data\push-up\video56.pt,14
processed_data\plank\video2.pt,12
processed_data\incline bench press\video126.pt,7
processed_data\shoulder press\video11.pt,17
processed_data\hip thrust\video133.pt,6
processed_data\hip thrust\video132.pt,6
processed_data\lateral raise\video139.pt,9
processed_data\tricep dips\video132.pt,20
processed_data\leg raises\video32.pt,11
processed_data\incline bench press\video77.pt,7
processed_data\plank\video84.pt,12
processed_data\tricep dips\video7.pt,20
processed_data\chest fly machine\video9.pt,2
processed_data\deadlift\video34.pt,3
processed_data\hammer curl\video25.pt,5
processed_data\push-up\video196.pt,14
processed_data\bench press\video38.pt,1
processed_data\push-up\video96.pt,14
processed_data\pull Up\video188.pt,13
processed_data\hip thrust\video29.pt,6
processed_data\squat\video46.pt,18
processed_data\t bar row\video53.pt,19
processed_data\push-up\video217.pt,14
processed_data\hip thrust\video120.pt,6
processed_data\plank\video198.pt,12
processed_data\squat\video51.pt,18
processed_data\plank\video26.pt,12
processed_data\shoulder press\video14.pt,17
processed_data\incline bench press\video97.pt,7
processed_data\hammer curl\video70.pt,5
processed_data\incline bench press\video33.pt,7
processed_data\pull Up\video111.pt,13
processed_data\push-up\video185.pt,14
processed_data\tricep dips\video19.pt,20
processed_data\squat\video168.pt,18
processed_data\leg raises\video148.pt,11
processed_data\push-up\video55.pt,14
processed_data\plank\video142.pt,12
processed_data\hammer curl\video79.pt,5
processed_data\incline bench press\video5.pt,7
processed_data\pull Up\video62.pt,13
processed_data\pull Up\video154.pt,13
processed_data\barbell biceps curl\video125.pt,0
processed_data\bench press\video19.pt,1
processed_data\deadlift\video115.pt,3
processed_data\push-up\video158.pt,14
processed_data\leg extension\video66.pt,10
processed_data\lateral raise\video112.pt,9
processed_data\incline bench press\video44.pt,7
processed_data\barbell biceps curl\video17.pt,0
processed_data\russian twist\video137.pt,16
processed_data\deadlift\video39.pt,3
processed_data\romanian deadlift\video120.pt,15
processed_data\romanian deadlift\video37.pt,15
processed_data\romanian deadlift\video12.pt,15
processed_data\tricep dips\video51.pt,20
processed_data\barbell biceps curl\video60.pt,0
processed_data\plank\video237.pt,12
processed_data\incline bench press\video105.pt,7
processed_data\plank\video230.pt,12
processed_data\tricep Pushdown\video125.pt,21
processed_data\lateral raise\video164.pt,9
processed_data\incline bench press\video92.pt,7
processed_data\leg extension\video88.pt,10
processed_data\plank\video233.pt,12
processed_data\hammer curl\video41.pt,5
processed_data\leg raises\video130.pt,11
processed_data\leg extension\video80.pt,10
processed_data\push-up\video223.pt,14
processed_data\squat\video127.pt,18
processed_data\push-up\video93.pt,14
processed_data\romanian deadlift\video124.pt,15
processed_data\incline bench press\video118.pt,7
processed_data\hip thrust\video97.pt,6
processed_data\hip thrust\video23.pt,6
processed_data\barbell biceps curl\video43.pt,0
processed_data\romanian deadlift\video115.pt,15
processed_data\hammer curl\video54.pt,5
processed_data\push-up\video130.pt,14
processed_data\russian twist\video140.pt,16
processed_data\hip thrust\video172.pt,6
processed_data\lateral raise\video20.pt,9
processed_data\pull Up\video19.pt,13
processed_data\hammer curl\video87.pt,5
processed_data\barbell biceps curl\video28.pt,0
processed_data\tricep Pushdown\video128.pt,21
processed_data\barbell biceps curl\video72.pt,0
processed_data\incline bench press\video112.pt,7
processed_data\push-up\video227.pt,14
processed_data\romanian deadlift\video148.pt,15
processed_data\romanian deadlift\video85.pt,15
processed_data\russian twist\video69.pt,16
processed_data\deadlift\video33.pt,3
processed_data\incline bench press\video187.pt,7
processed_data\plank\video97.pt,12
processed_data\tricep dips\video111.pt,20
processed_data\barbell biceps curl\video82.pt,0
processed_data\push-up\video50.pt,14
processed_data\squat\video198.pt,18
processed_data\hammer curl\video2.pt,5
processed_data\lateral raise\video146.pt,9
processed_data\t bar row\video180.pt,19
processed_data\leg raises\video136.pt,11
processed_data\lateral raise\video195.pt,9
processed_data\incline bench press\video95.pt,7
processed_data\tricep Pushdown\video82.pt,21
processed_data\lateral raise\video153.pt,9
processed_data\pull Up\video116.pt,13
processed_data\hammer curl\video151.pt,5
processed_data\pull Up\video106.pt,13
processed_data\plank\video256.pt,12
processed_data\plank\video68.pt,12
processed_data\squat\video21.pt,18
processed_data\tricep dips\video208.pt,20
processed_data\squat\video128.pt,18
processed_data\t bar row\video157.pt,19
processed_data\lateral raise\video77.pt,9
processed_data\pull Up\video133.pt,13
processed_data\hip thrust\video35.pt,6
processed_data\tricep dips\video148.pt,20
processed_data\barbell biceps curl\video29.pt,0
processed_data\chest fly machine\video5.pt,2
processed_data\push-up\video121.pt,14
processed_data\t bar row\video105.pt,19
processed_data\hammer curl\video86.pt,5
processed_data\romanian deadlift\video170.pt,15
processed_data\squat\video130.pt,18
processed_data\deadlift\video0.pt,3
processed_data\deadlift\video77.pt,3
processed_data\leg raises\video109.pt,11
processed_data\t bar row\video156.pt,19
processed_data\incline bench press\video131.pt,7
processed_data\plank\video252.pt,12
processed_data\tricep Pushdown\video35.pt,21
processed_data\plank\video98.pt,12
processed_data\hammer curl\video153.pt,5
processed_data\russian twist\video113.pt,16
processed_data\chest fly machine\video4.pt,2
processed_data\tricep Pushdown\video79.pt,21
processed_data\tricep Pushdown\video126.pt,21
processed_data\push-up\video34.pt,14
processed_data\romanian deadlift\video2.pt,15
processed_data\tricep Pushdown\video12.pt,21
processed_data\incline bench press\video23.pt,7
processed_data\t bar row\video177.pt,19
processed_data\bench press\video24.pt,1
processed_data\incline bench press\video98.pt,7
processed_data\t bar row\video30.pt,19
processed_data\tricep dips\video160.pt,20
processed_data\barbell biceps curl\video42.pt,0
processed_data\leg raises\video123.pt,11
processed_data\pull Up\video186.pt,13
processed_data\squat\video31.pt,18
processed_data\deadlift\video88.pt,3
processed_data\plank\video16.pt,12
processed_data\russian twist\video135.pt,16
processed_data\plank\video265.pt,12
processed_data\plank\video44.pt,12
processed_data\incline bench press\video73.pt,7
processed_data\tricep dips\video207.pt,20
processed_data\leg extension\video81.pt,10
processed_data\incline bench press\video12.pt,7
processed_data\tricep dips\video48.pt,20
processed_data\chest fly machine\video2.pt,2
processed_data\plank\video65.pt,12
processed_data\deadlift\video125.pt,3
processed_data\push-up\video139.pt,14
processed_data\romanian deadlift\video63.pt,15
processed_data\barbell biceps curl\video26.pt,0
processed_data\push-up\video106.pt,14
processed_data\pull Up\video115.pt,13
processed_data\incline bench press\video129.pt,7
processed_data\t bar row\video27.pt,19
processed_data\lateral raise\video200.pt,9
processed_data\pull Up\video187.pt,13
processed_data\lateral raise\video141.pt,9
processed_data\tricep Pushdown\video98.pt,21
processed_data\t bar row\video97.pt,19
processed_data\leg raises\video97.pt,11
processed_data\hip thrust\video112.pt,6
processed_data\tricep dips\video73.pt,20
processed_data\deadlift\video96.pt,3
processed_data\leg raises\video116.pt,11
processed_data\plank\video212.pt,12
processed_data\bench press\video128.pt,1
processed_data\tricep dips\video114.pt,20
processed_data\plank\video126.pt,12
processed_data\deadlift\video37.pt,3
processed_data\hammer curl\video62.pt,5
processed_data\shoulder press\video15.pt,17
processed_data\push-up\video29.pt,14
processed_data\romanian deadlift\video76.pt,15
processed_data\lateral raise\video149.pt,9
processed_data\pull Up\video155.pt,13
processed_data\squat\video214.pt,18
processed_data\t bar row\video28.pt,19
processed_data\lateral raise\video187.pt,9
processed_data\deadlift\video17.pt,3
processed_data\hip thrust\video20.pt,6
processed_data\t bar row\video131.pt,19
processed_data\leg raises\video119.pt,11
processed_data\romanian deadlift\video18.pt,15
processed_data\t bar row\video164.pt,19
processed_data\leg extension\video59.pt,10
processed_data\lateral raise\video203.pt,9
processed_data\leg raises\video76.pt,11
processed_data\push-up\video24.pt,14
processed_data\lateral raise\video143.pt,9
processed_data\tricep dips\video181.pt,20
processed_data\plank\video239.pt,12
processed_data\barbell biceps curl\video148.pt,0
processed_data\squat\video155.pt,18
processed_data\pull Up\video96.pt,13
processed_data\tricep dips\video13.pt,20
processed_data\deadlift\video104.pt,3
processed_data\leg raises\video73.pt,11
processed_data\leg extension\video40.pt,10
processed_data\bench press\video12.pt,1
processed_data\deadlift\video80.pt,3
processed_data\squat\video101.pt,18
processed_data\romanian deadlift\video112.pt,15
processed_data\hip thrust\video140.pt,6
processed_data\hammer curl\video65.pt,5
processed_data\leg raises\video93.pt,11
processed_data\squat\video209.pt,18
processed_data\plank\video254.pt,12
processed_data\plank\video246.pt,12
processed_data\russian twist\video52.pt,16
processed_data\barbell biceps curl\video11.pt,0
processed_data\barbell biceps curl\video59.pt,0
processed_data\pull Up\video14.pt,13
processed_data\push-up\video218.pt,14
processed_data\plank\video23.pt,12
processed_data\squat\video171.pt,18
processed_data\hammer curl\video50.pt,5
processed_data\squat\video124.pt,18
processed_data\squat\video5.pt,18
processed_data\pull Up\video66.pt,13
processed_data\bench press\video110.pt,1
processed_data\plank\video122.pt,12
processed_data\pull Up\video59.pt,13
processed_data\incline bench press\video11.pt,7
processed_data\romanian deadlift\video130.pt,15
processed_data\incline bench press\video88.pt,7
processed_data\tricep Pushdown\video76.pt,21
processed_data\russian twist\video76.pt,16
processed_data\russian twist\video151.pt,16
processed_data\hammer curl\video122.pt,5
processed_data\t bar row\video64.pt,19
processed_data\squat\video84.pt,18
processed_data\pull Up\video36.pt,13
processed_data\bench press\video17.pt,1
processed_data\leg extension\video24.pt,10
processed_data\tricep Pushdown\video61.pt,21
processed_data\squat\video76.pt,18
processed_data\pull Up\video99.pt,13
processed_data\squat\video170.pt,18
processed_data\bench press\video102.pt,1
processed_data\deadlift\video60.pt,3
processed_data\shoulder press\video3.pt,17
processed_data\tricep dips\video182.pt,20
processed_data\hammer curl\video131.pt,5
processed_data\barbell biceps curl\video105.pt,0
processed_data\plank\video181.pt,12
processed_data\hip thrust\video102.pt,6
processed_data\plank\video24.pt,12
processed_data\leg extension\video19.pt,10
processed_data\hammer curl\video117.pt,5
processed_data\squat\video79.pt,18
processed_data\plank\video76.pt,12
processed_data\squat\video195.pt,18
processed_data\tricep dips\video173.pt,20
processed_data\leg raises\video111.pt,11
processed_data\t bar row\video59.pt,19
processed_data\t bar row\video119.pt,19
processed_data\tricep Pushdown\video3.pt,21
processed_data\romanian deadlift\video33.pt,15
processed_data\chest fly machine\video24.pt,2
processed_data\tricep Pushdown\video11.pt,21
processed_data\bench press\video100.pt,1
processed_data\hammer curl\video57.pt,5
processed_data\t bar row\video159.pt,19
processed_data\incline bench press\video36.pt,7
processed_data\squat\video141.pt,18
processed_data\plank\video111.pt,12
processed_data\t bar row\video15.pt,19
processed_data\squat\video86.pt,18
processed_data\bench press\video67.pt,1
processed_data\lateral raise\video66.pt,9
processed_data\leg extension\video23.pt,10
processed_data\plank\video226.pt,12
processed_data\lateral raise\video37.pt,9
processed_data\barbell biceps curl\video135.pt,0
processed_data\t bar row\video9.pt,19
processed_data\pull Up\video21.pt,13
processed_data\hammer curl\video58.pt,5
processed_data\russian twist\video84.pt,16
processed_data\push-up\video77.pt,14
processed_data\hip thrust\video21.pt,6
processed_data\squat\video120.pt,18
processed_data\tricep Pushdown\video101.pt,21
processed_data\plank\video154.pt,12
processed_data\hip thrust\video169.pt,6
processed_data\russian twist\video64.pt,16
processed_data\lateral raise\video161.pt,9
processed_data\pull Up\video123.pt,13
processed_data\hip thrust\video8.pt,6
processed_data\shoulder press\video13.pt,17
processed_data\pull Up\video87.pt,13
